code,time,PAR,Fo,Fm,rETR
BBM_TE,14,36.56,89,301,25.74990033
BBM_TE,14,94.22,97,297,63.44781145
BBM_TE,14,200.5,93,295,137.2915254
BBM_TE,14,314.3,88,295,220.5427119
BBM_TE,14,443.5,96,297,300.1464646
BBM_TE,14,601,91,294,414.9761905
BBM_TE,14,782,85,292,554.3630137
BBM_TE,14,986,93,288,667.6041667
BBM_TE,14,1213,102,285,778.8736842
BBM_TE,14,36.56,101,379,26.81709763
BBM_TE,14,94.22,119,380,64.71426316
BBM_TE,14,200.5,115,378,139.5013228
BBM_TE,14,314.3,117,370,214.9132432
BBM_TE,14,443.5,102,374,322.5454545
BBM_TE,14,601,125,365,395.1780822
BBM_TE,14,782,116,366,534.1530055
BBM_TE,14,986,119,366,665.4153005
BBM_TE,14,1213,120,363,812.0082645
BBM_1,14,36.56,123,390,25.02953846
BBM_1,14,94.22,126,389,63.70143959
BBM_1,14,200.5,110,389,143.8033419
BBM_1,14,314.3,122,382,213.921466
BBM_1,14,443.5,115,381,309.6351706
BBM_1,14,601,120,376,409.1914894
BBM_1,14,782,124,376,524.106383
BBM_1,14,986,122,379,668.6068602
BBM_1,14,1213,127,368,794.3831522
BBM_1,14,36.56,104,382,26.60649215
BBM_1,14,94.22,122,380,63.97042105
BBM_1,14,200.5,107,384,144.6315104
BBM_1,14,314.3,131,378,205.3759259
BBM_1,14,443.5,134,383,288.3328982
BBM_1,14,601,131,377,392.1644562
BBM_1,14,782,121,381,533.648294
BBM_1,14,986,125,377,659.0769231
BBM_1,14,1213,111,379,857.7414248
BBM_2,14,36.56,124,310,21.936
BBM_2,14,94.22,128,302,54.28569536
BBM_2,14,200.5,130,301,113.9053156
BBM_2,14,314.3,114,301,195.2627907
BBM_2,14,443.5,120,299,265.506689
BBM_2,14,601,122,297,354.1245791
BBM_2,14,782,128,292,439.2054795
BBM_2,14,986,132,299,550.7090301
BBM_2,14,1213,136,289,642.1764706
BBM_2,14,36.56,170,378,20.11767196
BBM_2,14,94.22,168,375,52.00944
BBM_2,14,200.5,168,362,107.4502762
BBM_2,14,314.3,167,355,166.4461972
BBM_2,14,443.5,155,357,250.9439776
BBM_2,14,601,155,343,329.4110787
BBM_2,14,782,169,342,395.5730994
BBM_2,14,986,169,341,497.3372434
BBM_2,14,1213,161,325,612.0984615
BBM_3,14,36.56,157,346,19.97063584
BBM_3,14,94.22,157,344,51.21843023
BBM_3,14,200.5,162,335,103.541791
BBM_3,14,314.3,149,333,173.6672673
BBM_3,14,443.5,161,332,228.4292169
BBM_3,14,601,166,333,301.4024024
BBM_3,14,782,163,320,383.66875
BBM_3,14,986,151,319,519.2727273
BBM_3,14,1213,147,314,645.1305732
BBM_3,14,36.56,137,299,19.80842809
BBM_3,14,94.22,142,294,48.71238095
BBM_3,14,200.5,138,292,105.7431507
BBM_3,14,314.3,146,283,152.1522968
BBM_3,14,443.5,145,281,214.6476868
BBM_3,14,601,136,280,309.0857143
BBM_3,14,782,128,275,418.0145455
BBM_3,14,986,140,270,474.7407407
BBM_3,14,1213,140,263,567.2965779
BBM_4,14,36.56,238,487,18.69289528
BBM_4,14,94.22,254,472,43.51686441
BBM_4,14,200.5,244,471,96.63163482
BBM_4,14,314.3,239,454,148.842511
BBM_4,14,443.5,240,452,208.0132743
BBM_4,14,601,243,447,274.2818792
BBM_4,14,782,237,450,370.1466667
BBM_4,14,986,243,430,428.7953488
BBM_4,14,1213,243,432,530.6875
BBM_4,14,36.56,156,302,17.67470199
BBM_4,14,94.22,141,300,49.9366
BBM_4,14,200.5,147,291,99.21649485
BBM_4,14,314.3,138,285,162.1126316
BBM_4,14,443.5,139,280,223.3339286
BBM_4,14,601,140,274,293.919708
BBM_4,14,782,128,275,418.0145455
BBM_4,14,986,140,273,480.3589744
BBM_4,14,1213,140,255,547.0392157